SMAQC SCANNER RESULTS
-----------------------------------------------------------
SMAQC Version: 1.3.7695.30896 (January 25, 2021)
Instrument ID: 160
Scan Date: 2021-01-25 17:12:26
[Data]
Dataset, Measurement Name, Measurement Value
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, C_1A, 0.004824
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, C_1B, 0.01346
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, C_2A, 31.1487
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, C_2B, 206.3328
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, C_3A, 12.44
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, C_3B, 12.45
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, C_4A, 11.66
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, C_4B, 6.5
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, C_4C, 11.61
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, DS_1A, 2.219
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, DS_1B, 2.548
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, DS_2A, 1126
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, DS_2B, 11286
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, DS_3A, 1.875
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, DS_3B, 1.169
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, IS_1A, 11
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, IS_1B, 12
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, IS_2, 754.9281
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, IS_3A, 0
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, IS_3B, 2.23289
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, IS_3C, 0.825914
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, Keratin_2A, 2
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, Keratin_2C, 2
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS1_1, 0.486
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS1_2A, 625.7
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS1_2B, 8282750
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS1_3A, 590.829
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS1_3B, 33791000
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS1_5A, -0.000958
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS1_5B, 0.003957
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS1_5C, -0.457
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS1_5D, -0.457
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS2_1, 100
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS2_2, 558.3
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS2_3, 10673
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS2_4A, 0.9682
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS2_4B, 0.9731
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS2_4C, 0.9764
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS2_4D, 0.9716
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS2_RepIon_1Missing, 50
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS2_RepIon_2Missing, 32
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS2_RepIon_3Missing, 11
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, MS2_RepIon_All, 12705
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, P_1A, 16.7
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, P_1B, -16.7
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, P_2A, 11947
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, P_2B, 7379
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, P_2C, 5080
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, P_3, 0.101969
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, P_4A, 0.906172
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, P_4B, 0.176597
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, Phos_2A, 0
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, Phos_2C, 0
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, Trypsin_2A, 23
01CPTAC_CompRef_W_20161212_B3S5_f11_excerpt, Trypsin_2C, 6

